Always Summer Surf School,Sport Facility/Venue,4904 Crystal Dr,San Diego,CA,92109,32.80323,-117.25997
Tourmaline Surf Park,Sport Facility/Venue,600 Tourmaline St,San Diego,CA,92109,32.805892,-117.261218
PB Surf Beachside Inn,Hotel,4760 Mission Blvd,San Diego,CA,92109,32.80058,-117.25674
Bird Rock Surf,Outdoor Sports,5509 La Jolla Blvd,La Jolla,CA,92037,32.81278,-117.26814
Seaside Surf Cafe,Food & Drink,5517 La Jolla Blvd,La Jolla,CA,92037,32.81286,-117.26824
JRDN Surf Sky Spirit Restaurant,Restaurant,723 Felspar St,San Diego,CA,92109,32.79725,-117.2567
Surf Group,Business & Services,5575 La Jolla Blvd,La Jolla,CA,92037,32.81363,-117.26899
South Coast Surf Shops,Outdoor Sports,740 Felspar St,San Diego,CA,92109,32.79755,-117.25631
Taco Surf,Restaurant,4657 Mission Blvd,San Diego,CA,92109,32.79876,-117.25585
Kono's Surf Club,Restaurant,704 Garnet Ave,San Diego,CA,92109,32.79655,-117.25649
Pure Life Surf Shop & Beach Rentals,Shop,4466 Mission Blvd,San Diego,CA,92109,32.795997,-117.255482
Pure Life Surf & Snow,Outdoor Sports,4466 Mission Blvd,San Diego,CA,92109,32.795997,-117.255482
San Diego Surf School,Outdoor Sports,4850 Cass St,San Diego,CA,92109,32.80311,-117.25381
Mission Surf,Outdoor Sports,4320 Mission Blvd,San Diego,CA,92109,32.794,-117.25492
Ith Beach Bungalow Surf Hostel,Hostel,707 Reed Ave,San Diego,CA,92109,32.79231,-117.25537
Surf Monkey Bikes,Shop,853 Grand Ave,San Diego,CA,92109,32.79457,-117.25375
Rip Curl Surf Center,Outdoor Sports,4287 Mission Blvd,San Diego,CA,92109,32.7934,-117.25403
PB Surf Shop,Outdoor Sports,4150 Mission Blvd,San Diego,CA,92109,32.791653,-117.254148
Pacific Surf School,Sport Facility/Venue,4121 Mission Blvd,San Diego,CA,92109,32.791178,-117.253673
Pacific Surf School,Outdoor Sports,4121 Mission Blvd,San Diego,CA,92109,32.791178,-117.253673
